Using TensorFlow backend.
2019-01-10 09:56:50.709261: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-01-10 09:56:57.360484: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.6325
pciBusID: 0000:84:00.0
totalMemory: 10.91GiB freeMemory: 10.75GiB
2019-01-10 09:56:57.360564: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1511] Adding visible gpu devices: 0
2019-01-10 09:56:57.840145: I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-01-10 09:56:57.840218: I tensorflow/core/common_runtime/gpu/gpu_device.cc:988]      0 
2019-01-10 09:56:57.840231: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1001] 0:   N 
2019-01-10 09:56:57.840602: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 10400 MB memory) -> physical GPU (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:84:00.0, compute capability: 6.1)
Reading data/kiba/ start
Read data/kiba/ start
2111
229
tmp1545016336.2369363/
Reading data/kiba/ start
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
val set 19709
train set 78836
[[0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0, 0, 0, 0]]
[32]
[4, 8]
[8, 12]
tranpytorch.py:148: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1XD.weight)
tranpytorch.py:150: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv2XD.weight)
tranpytorch.py:152: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv3XD.weight)
tranpytorch.py:156: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv1XT.weight)
tranpytorch.py:158: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv2XT.weight)
tranpytorch.py:160: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.conv3XT.weight)
tranpytorch.py:163: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc1.weight)
tranpytorch.py:165: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc2.weight)
tranpytorch.py:167: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(self.fc3.weight)
tranpytorch.py:169: UserWarning: nn.init.normal is now deprecated in favor of nn.init.normal_.
  torch.nn.init.normal(self.fc4.weight)
param  4   32   8
epoch  0  , train loss  24.32769196018901   , vali loss  1.5137317193335331
epoch  1  , train loss  0.843217520334809   , vali loss  1.9678123977740876
epoch  2  , train loss  0.8034732543119915   , vali loss  2.491247229915067
epoch  3  , train loss  0.786267460813938   , vali loss  2.1469988249542085
epoch  4  , train loss  0.7786005995965414   , vali loss  2.7224661819926013
epoch  5  , train loss  0.7705777917612789   , vali loss  2.5835883871073944
epoch  6  , train loss  0.7689127199175247   , vali loss  2.1551102438233833
epoch  7  , train loss  0.7645824967384387   , vali loss  1.8499226791866294
epoch  8  , train loss  0.7565167375886886   , vali loss  2.117285012690781
epoch  9  , train loss  0.7501500876982091   , vali loss  2.3514144252234384
epoch  10  , train loss  0.7494164488771516   , vali loss  2.081133226540494
epoch  11  , train loss  0.7468074700913295   , vali loss  2.0080852442011756
epoch  12  , train loss  0.7433552245183093   , vali loss  1.8323329637702532
epoch  13  , train loss  0.7393882990524561   , vali loss  1.7112436675609255
epoch  14  , train loss  0.7392009969679174   , vali loss  1.5169771986045433
epoch  15  , train loss  0.7376518007391476   , vali loss  1.4066119318992145
epoch  16  , train loss  0.7359881837217163   , vali loss  1.5283885397464212
epoch  17  , train loss  0.7332536206106791   , vali loss  1.5494141337219405
epoch  18  , train loss  0.7311576692092315   , vali loss  1.4992240292579957
epoch  19  , train loss  0.7281713741265619   , vali loss  1.4972548134898274
epoch  20  , train loss  0.7263928038283167   , vali loss  1.3372430981696484
epoch  21  , train loss  0.7234705417382069   , vali loss  1.1520482713128946
epoch  22  , train loss  0.7249639084866689   , vali loss  0.9858592088572468
epoch  23  , train loss  0.7215903243902908   , vali loss  0.8515142634600965
epoch  24  , train loss  0.7208842905309624   , vali loss  0.7853465142681438
epoch  25  , train loss  0.7182996015073538   , vali loss  0.7293646581653555
epoch  26  , train loss  0.7164804196755716   , vali loss  0.7273608288437611
epoch  27  , train loss  0.7158725659768267   , vali loss  0.7298412096603826
epoch  28  , train loss  0.7154651173167931   , vali loss  0.7129779854190483
epoch  29  , train loss  0.7133390596634032   , vali loss  0.7100988961081447
epoch  30  , train loss  0.7121472063629019   , vali loss  0.7169712159579079
epoch  31  , train loss  0.7121396473362672   , vali loss  0.7149763877753876
epoch  32  , train loss  0.7117711285900274   , vali loss  0.7053873191365393
epoch  33  , train loss  0.711755686290394   , vali loss  0.7037231660220677
epoch  34  , train loss  0.7118689088318421   , vali loss  0.6988522780740561
epoch  35  , train loss  0.711070827149723   , vali loss  0.7063662951936992
epoch  36  , train loss  0.7109053540165684   , vali loss  0.7037302872120769
epoch  37  , train loss  0.7115687149331549   , vali loss  0.699149822915391
epoch  38  , train loss  0.7110814690722971   , vali loss  0.7029309034002772
epoch  39  , train loss  0.710463028343865   , vali loss  0.701667782305776
epoch  40  , train loss  0.7101414414977331   , vali loss  0.699054912781327
epoch  41  , train loss  0.7102052808243412   , vali loss  0.6969916078015981
epoch  42  , train loss  0.7101640235471051   , vali loss  0.699245479197751
epoch  43  , train loss  0.7102123447232452   , vali loss  0.6965880865823055
epoch  44  , train loss  0.7100505262357749   , vali loss  0.6949119148500447
epoch  45  , train loss  0.7099791736180358   , vali loss  0.6941170516463622
epoch  46  , train loss  0.7099171444320795   , vali loss  0.6935490357971995
epoch  47  , train loss  0.7098718753984344   , vali loss  0.6934699728261621
